'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-07-01',0.0,0.84000000000000003552,0.3625,1.45,0.0,0.0,0.0,0.0
'2013-07-02',0.0,0.84000000000000003552,0.29,1.45,0.0,0.0,0.0,0.0
'2013-07-03',0.0,0.84000000000000003552,0.24166666666666665186,1.45,0.0,0.0,0.0,0.0
'2013-07-04',0.0,0.84000000000000003552,0.20714285714285711748,1.45,0.0,0.0,0.0,0.0
'2013-07-05',0.0,0.53000000000000007105,0.11857142857142857295,0.82999999999999989341,0.0,0.0,0.0,0.0
'2013-07-06',0.0,0.53000000000000007105,0.13999999999999999111,0.98000000000000007105,0.0,0.0,0.0,0.0
'2013-07-07',0.0,0.23000000000000002664,0.064285714285714288251,0.45,0.0,0.0,0.0,0.0
'2013-07-08',0.0,0.23000000000000002664,0.064285714285714288251,0.45,0.0,0.0,0.0,0.0
'2013-07-09',0.0,0.25,0.099999999999999982236,0.7,0.0,0.0,0.0,0.0
'2013-07-10',0.0,0.25,0.10857142857142856229,0.75999999999999996447,0.0,0.0,0.0,0.0
'2013-07-11',0.0,0.25,0.10857142857142856229,0.75999999999999996447,0.0,0.0,0.0,0.0
'2013-07-12',0.0,0.25,0.077142857142857153007,0.54000000000000003552,0.0,0.0,0.0,0.0
'2013-07-13',0.0,0.25,0.044285714285714288251,0.31000000000000000888,0.0,0.0,0.0,0.0
'2013-07-14',0.0,0.25,0.044285714285714288251,0.31000000000000000888,0.0,0.0,0.0,0.0
'2013-07-15',0.0,0.25,0.044285714285714288251,0.31000000000000000888,0.0,0.0,0.0,0.0
'2013-07-16',0.0,0.06,0.0085714285714285729511,0.06,0.0,0.0,0.0,0.0
'2013-07-17',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-07-18',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-07-19',0.0,0.06,0.0085714285714285729511,0.06,0.0,0.0,0.0,0.0
'2013-07-20',0.0,0.31000000000000000888,0.052857142857142855874,0.37000000000000001776,0.0,0.0,0.0,0.0
'2013-07-21',0.0,0.31000000000000000888,0.052857142857142855874,0.37000000000000001776,0.0,0.0,0.0,0.0
'2013-07-22',0.0,0.31000000000000000888,0.05428571428571427937,0.37999999999999998223,0.0,0.0,0.0,0.0
'2013-07-23',0.0,0.31000000000000000888,0.05428571428571427937,0.37999999999999998223,0.0,0.0,0.0,0.0
'2013-07-24',0.0,0.31000000000000000888,0.05428571428571427937,0.37999999999999998223,0.0,0.0,0.0,0.0
'2013-07-25',0.0,0.31000000000000000888,0.088571428571428576503,0.62000000000000001776,0.0,0.0,0.0,0.0
'2013-07-26',0.0,0.31000000000000000888,0.081428571428571423496,0.57000000000000010658,0.0,0.0,0.0,0.0
'2013-07-27',0.0,0.23999999999999999111,0.037142857142857144125,0.26000000000000000888,0.0,0.0,0.0,0.0
'2013-07-28',0.0,0.23999999999999999111,0.037142857142857144125,0.26000000000000000888,0.0,0.0,0.0,0.0
'2013-07-29',0.0,0.65,0.12857142857142858005,0.9,0.0,0.0,0.0,0.0
'2013-07-30',0.0,0.65,0.12857142857142858005,0.9,0.0,0.0,0.0,0.0
'2013-07-31',0.0,0.65,0.13714285714285714412,0.95999999999999996447,0.0,0.0,0.0,0.0
'2013-08-01',0.0,0.65,0.10285714285714284699,0.71999999999999992894,0.0,0.0,0.0,0.0
'2013-08-02',0.0,0.65,0.10142857142857142349,0.70999999999999996447,0.0,0.0,0.0,0.0
'2013-08-03',0.0,0.65,0.10142857142857142349,0.70999999999999996447,0.0,0.0,0.0,0.0
