'Borough','Zone','trips','avg_dur_min','avg_dur_sec'
'Brooklyn','Brighton Beach',73674,16.160056464967286871,969.61854928468653724
'Brooklyn','East Flatbush/Remsen Village',216452,16.423516530223789544,985.39028514405035963
'Brooklyn','Flatlands',194581,17.059178439827114459,1023.5273433685714294
'Queens','Saint Albans',146942,16.592614773175810682,995.71666371765736869
'Queens','Richmond Hill',140629,15.681097071016645294,940.91919874279135171
'Brooklyn','Bedford',316182,17.725199410466125904,1063.6243587554004008
'Bronx','West Concourse',192061,14.860960840566277418,891.76184129000688471
'Manhattan','World Trade Center',125029,21.46689967927440712,1287.9110286413551023
'Staten Island','Arden Heights',8881,16.895845062492962362,1013.1881544871073064
'Brooklyn','Midwood',108778,17.477219658386804468,1048.7838901248414114
'Bronx','Riverdale/North Riverdale/Fieldston',54622,17.805279923840209299,1068.3613562300904309
'Manhattan','Upper East Side North',478225,15.886869151550002676,953.29252339380001757
'Queens','Rockaway Park',20327,22.484232793821026241,1349.0863383676883202
'Manhattan','Upper West Side South',363061,16.244923029463369523,974.70012201806301987
'Manhattan','Lenox Hill East',330388,18.062060365388575178,1083.591916171289462
'Manhattan','Midtown North',347001,18.083478145596121322,1085.0243313419847268
'Bronx','Crotona Park East',97095,15.290787373191204068,917.47655389051949725
'Queens','Kew Gardens',69360,16.201384083044980677,972.23029123414068664
'Queens','Howard Beach',43638,16.349763967184564705,980.94371877721258101
'Manhattan','Midtown South',375953,17.75589235888528794,1065.3239075097153953
'Manhattan','Penn Station/Madison Sq West',388236,18.103805417323481918,1086.2579024098744184
'Queens','Hillcrest/Pomonok',73436,18.078599052235961863,1084.8022087259656665
'Queens','Springfield Gardens South',67034,16.496733001163588205,989.78145418742720096
'Manhattan','Yorkville East',209797,13.513262820726701374,810.6723833038603999
'Manhattan','Seaport',73303,19.618269375059682602,1177.088100077759547
'Manhattan','Garment District',255116,19.080285046802238468,1144.7278100942317458
'Manhattan','Central Park',145691,16.256769464139857461,975.32736407876949868
'Manhattan','Hudson Sq',121089,17.582026443359843881,1054.880955330376846
'Queens','Middle Village',68618,16.728190853711854657,1003.7040863913258004
'Manhattan','Governor''s Island/Ellis Island/Liberty Island',15,16.466666666666665008,997.40000000000001989
'Queens','Jackson Heights',267213,16.572711656992737516,994.34363971812746996
'Manhattan','East Chelsea',422629,18.353302778559918095,1101.1609283792640479
'Brooklyn','Clinton Hill',199884,18.203127814132198381,1092.3002141241919815
'Manhattan','Washington Heights South',307492,16.978737658215496963,1018.7628230978367227
'Staten Island','Grymes Hill/Clifton',34148,24.316299636874783018,1459.0049783296239027
'Unknown','NA',29324,35.661471831946527366,2136.5862433501572326
'Manhattan','Kips Bay',284781,16.607561599966289556,996.57659043264814613
'Brooklyn','Madison',79677,15.892704293585349084,953.60008534457865181
'Brooklyn','Bushwick South',393694,18.651203726752250133,1119.1016322321396536
'Bronx','Spuyten Duyvil/Kingsbridge',119066,15.553659315001762131,933.24513295147237812
'Bronx','Fordham South',88003,15.741167914730180399,944.65043237162369393
'Manhattan','Upper West Side North',317051,16.636553740565396708,998.26449372498426981
'Brooklyn','Gowanus',64439,18.079129098837661615,1084.7861543475223555
'Bronx','Claremont/Bathgate',138417,15.285225080734303304,917.23188625674598739
'Manhattan','Murray Hill',458614,16.648902999036227612,998.941146585145745
'Bronx','East Tremont',169957,15.362727042722572612,921.9801949904976368
'Manhattan','Financial District North',217251,20.332265444117636477,1219.9333858072001213
'Brooklyn','Brooklyn Heights',153460,19.698462139971329776,1181.8623810765020998
'Manhattan','West Village',394143,16.520694265786783461,991.15563386892571173
